geometry_id,part_name,shape_embedding,surface_volume_ratio,thickest_section,thinnest_wall
PART-001,Cylinder_Block_v1,"[0.577784754613697, 0.806789615499281, 0.4525048672220357, 0.2664496710140489, 2.0, 0.4726892882188454, 0.8458310324657705, 0.1239912506449734, 0.9764351031122339, 0.9621575132096022, 0.30802185176425917, 0.22834886190401896, -0.2309286865030566, -0.42671876732762926, 0.12309735003202156, -0.010823559768472803, 0.09520329023568375, 0.09971642356640344, 0.3088973353464425, 0.4295233838933487, -0.11343145091537406, 0.5045341036822288, -0.22352128946295013, -0.14104809771738858, -0.17690780580366153, 0.14846502657978464, -0.21625348875274278, 0.37623831027861937, 0.019932659275751965, -0.34787437840368257, 0.3138257650293524, 0.056308825654893896, 0.15967982833290814, -0.3588867421782928, 0.1546799879685587, -0.0420601709355841, 0.2797157795544582, -0.0014354634090940443, 0.5348888468155388, -0.530466548608908, -0.7629144253582286, -0.016018161992979854, -0.14188871355197577, -0.1492528102862786, -0.0019192621489487207, -0.0395671867325735, 0.19996394647995933, 0.2517550198587334, -0.38569107919656587, -0.26450272964320554]",350,58,4.0
PART-002,Cylinder_Block_v2,"[0.4867166977501686, 0.9097432483273113, 0.38374198493680417, 0.12638153440231495, 2.0, 0.5577391262944709, 0.950809254819704, 0.1382068485795219, 0.9875154772321928, 1.0269905466653726, 0.4866873328873627, -0.12204502409435283, 0.16716484705546733, -0.2570878505234026, 0.10271630295447491, -0.20886731177375034, -0.1370754775097574, -0.15487529931956842, 0.38425780321736497, -0.618045281528081, 0.3086463549949209, 0.08698720799071165, 0.36095329483662075, 0.10566240208651949, 0.40012141516504135, -0.3066120966726434, 0.070317811977958, 0.25696999810131127, 0.5049728075187879, -0.00031324052454415025, -0.224494070743353, 0.4367247004229537, -0.15219320366090278, -0.03205780586807144, 0.3875583109513744, 0.11008126053561461, 0.43575762596555107, -0.05083852057713853, -0.0425869936393798, -0.06394403234997645, -0.017862301610710937, -0.18719571479874933, 0.09418954255802382, 0.14575047577339012, -0.06431571934485149, 0.3150477908098721, 0.2872355018140528, -0.15374355886444033, 0.3899772605937308, 0.016093381326186443]",360,60,4.1
PART-003,Cylinder_Block_v3,"[0.5374026165631968, 0.8167044379454973, 0.3266477445661385, 0.19251222423459613, 2.0, 0.4815683330187516, 0.9380038069908745, 0.07034672601958983, 1.012105890170244, 1.0397934397027484, 0.2461907764568144, -0.38605216703383627, -0.6446822127715734, -0.0516495353537401, -0.26049808106254646, 0.44125364186645255, 0.043554741443750045, 0.508197529600574, 0.13020933417531325, -0.19817739222933164, 0.10507600719726318, 0.3673092699123464, -0.4558817862367758, 0.1750522967653045, -0.2161578165262411, 0.1748401657201798, -0.19590399297936129, 0.20999612271768894, -0.34417830016603307, -0.6426357169778791, -0.4178417163558301, -0.053183769135583835, 0.39854879572876584, -0.016452273405631216, 0.09615945169902634, 0.20149072825894457, 0.0863010774037498, 0.09109610128630652, 0.23539291161991366, -0.015188613043521267, 0.11513387298890601, -0.6515262225852813, 0.11178808280204289, -0.16823589206050385, -0.5493875926695697, -0.11971862358733164, -0.16569703926943186, 0.6555768263812566, -0.48594743719167943, 0.21917564926692762]",368,62,4.2
PART-004,Brake_Drum_v1,"[0.658059178031408, 0.40322626116271976, 0.8469693810727706, 0.5743963829990665, 1.4520755430071248, 1.4232990694995824, 0.8748885573000563, 0.7381911719692112, 0.06524897467172498, -0.027829776822674485, 0.07316004445055375, -0.31554981637236207, 0.27409436964607614, -0.0361698030838204, 0.33604092440497774, 0.43908546277680566, -0.09215545056801062, -0.2994375138332742, -0.3392039087536906, 0.11789889304314027, -0.01886849117320236, 0.24174661960448637, 0.29056768251388626, -0.08890442202198931, 0.5613599761484668, -0.5981746780157585, 0.1884904008977935, 0.1546415869661509, 0.2424954135081251, -0.28986048097020334, 0.13249507945645195, 0.0333606910582279, -0.039288446592128184, 0.11854420850491089, 0.373948497108795, -0.04284959697505513, -0.42825005596104704, 0.11955841762403019, 0.5923900197546689, 0.3091548675739283, -0.2626530352277538, 0.05205533859173534, 0.3625498572935429, 0.6795260394579284, 0.0497827518109346, -0.20684428389992285, 0.20120156810283427, -0.0004719191828280013, 0.30951160793071497, -0.09304645043605742]",521,28,8.0
PART-005,Brake_Drum_v2,"[0.7324816194667771, 0.4492801887996091, 0.903170826051758, 0.48539012517814956, 1.5071955063526863, 1.3971792292458323, 1.0135299292848499, 0.8310358819763897, 0.0056472411409737916, -0.04470489968913354, 0.4284385525613834, -0.0961441067957361, -0.6051238802889959, -0.1157618110861209, 0.9730605698399606, -0.1488537052770208, -0.5109045431446582, 0.16553526912525232, -0.3972972634261582, 0.19055334285490388, -0.4142298688549007, -0.22844379455082117, -0.05160292251271437, 0.4722139236380619, 0.11197787206518191, -0.055100653181862407, 0.2563603907918522, 0.3095545990598621, 0.4961875464246977, -0.023086712349767488, 0.02813724537432785, -0.07387720854325593, -0.16433903190529742, -0.2646782285255717, -0.16924040662594395, -0.16352004263756015, 0.04641284504118415, 0.3911693676025942, -0.21055034703797548, -0.09880047767660445, 0.20028529146258361, 0.3816792422422723, 0.6193003082365999, -0.10279294670862789, -0.32659113489585, 0.038591191145629616, 0.14435936365315993, 0.10266462623370157, -0.6812100772327325, -0.7121567914410082]",530,30,8.5
PART-006,Intake_Manifold_v1,"[0.6638588406866898, 0.523627412976265, 0.5175060142895358, 0.48933263316586334, 1.9224965041536493, 0.7472241431528834, 0.9334308734550023, 0.7231222818668928, -0.019966379016633635, -0.08512047788454498, 0.11772302529336745, 0.10621420378024489, 0.3476638121879494, 0.3677211075086421, 0.07879646053625208, 0.1365941685529665, -0.3646908250268344, 0.22030177325150668, -0.0016694956904349148, 0.10885572518360377, -0.04440822537554593, 0.11388519960891651, -0.14006533063280363, -0.1917627624385942, -0.09966055719263453, -0.14158096201512674, -0.2888493423681916, -0.10255394750259923, -0.4768116723001917, 0.1529542395472769, -0.03262825456302103, -0.10607188070704412, 0.04150568122100661, -0.355831607133956, 0.023799654499956486, -0.5817974575461635, 0.34463805627598304, -0.25749926054964617, 0.05579755057721789, -0.10802012938286099, -0.28658479522741687, -0.04036929951148464, 0.26925631044747567, 0.12614407010159512, -0.8506929820399035, -0.5732579740104197, 0.24253028575352453, -1.010931632480191, 0.2726947940274163, -0.4506284269638674]",480,35,5.0
PART-007,Intake_Manifold_v2,"[0.7521808308263441, 0.5287500683748017, 0.5079728265342452, 0.4623525263414604, 1.9446368856688871, 0.9258273382720734, 1.0085805089246904, 0.5618839267551673, 0.004180256308618196, -0.013308038368808204, -0.18386141560706754, -0.5519284172276051, -0.3732623513460936, 0.26224912821469043, -0.5241024852960272, -0.034486108746686124, -0.2377950983239014, -0.4184879108453678, -0.4007895887073515, -0.20015967916522928, -0.29058474417650826, -0.0780857231802085, 0.2548902527807009, -0.34158177158693015, 0.05574656078566139, 0.38870204202707975, 0.09097613064388618, 0.13930157859609604, -0.16668489783219714, 0.05744265208530589, 0.2219362962657899, -0.07262474633949517, 0.26010830669495444, -0.27728477174687066, 0.08622993195431455, 0.23644745446780815, 0.23264658512933628, 0.1890673899830214, 0.07424526727237446, 0.5224761537709465, 0.3290346374796645, 0.14903411058232935, 0.15130907333192575, -0.0068805150379727086, 0.4128404118636984, 0.26732379651559296, 0.09425647290146107, -0.2928848010853965, 0.004422569555197138, -0.45651282323146747]",500,38,5.5
PART-008,Exhaust_Manifold_v1,"[0.7266093442905526, 0.37741825438250803, 0.5318220194259612, 0.6295809080836913, 1.256828761898542, 1.071565993545004, 0.9891905062025305, 0.8462371379326418, 0.029280000539210163, 0.0666035553322743, 0.23055371477660827, 0.26560110933464887, 0.17410836567306462, 0.07246072541110257, -0.03424081873204065, -0.4850342084102659, -0.05268453358179943, -0.31192965165362124, -0.5035547582170532, -0.26004107506862617, 0.4367880106416791, -0.22025441055333536, -0.5920191324942516, 0.07945617797408312, 0.6659475954833298, 0.09851360993912574, 0.022169551696649983, 0.2558369771025509, -0.06405627394245166, 0.055286778632011445, 0.07956188919802272, 0.1763039907082326, 0.1874002153762286, 0.186483616569168, 0.008770281667638016, -0.24094315699009206, -0.49231335288442124, -0.022808255476358424, 0.15134550219851148, -0.42100692993379213, 0.20933229633432712, 0.04149330466146504, 0.3036753050444166, 0.04678011071558155, -0.22561748142800347, 0.41575952889306916, 0.19181476430679914, 0.08812608892123608, 0.890740645780773, -0.14654783926769016]",550,25,6.0
PART-009,Transmission_Housing_v1,"[0.6377604183308142, 0.7343853640817077, 0.5305499729435096, 0.36643949981928226, 2.0, 0.772096196224206, 0.9428465394959371, 0.4054795517816012, -0.05641619791476585, -0.0517994646095396, -0.09200320632826728, 0.08867946735428518, 0.13732147571591155, 0.10726010095101514, -0.2902917531649748, 0.05151216005434658, -0.14634183351767083, -0.01187982051668637, 0.11820869952790755, 0.32871109688443023, 0.04202086657211758, -0.11221515452526822, 0.019924299085612544, 0.6385917473006925, -0.06138314735833506, -0.1480252903602171, -0.24516485222171086, 0.20556089061571722, -0.05251962230641606, 0.3764223280316692, 0.32512681219489553, 0.01035942434693417, -0.32289805260717375, 0.38537624017110533, 0.057689911868015684, -0.48307752214192445, -0.24447827185209514, -0.6323580799947236, 0.7009071256891248, -0.38614117359913, 0.37773973421317275, 0.06150323927753202, 0.47945625981213963, -0.1747116063998511, 0.11266421822543418, 0.32654410229902814, 0.1435650677396739, 0.246901092798718, -0.22467512834682904, 0.3270272944049629]",420,45,5.5
PART-010,Transmission_Housing_v2,"[0.6823254344826486, 0.6160082380482649, 0.6160402914286174, 0.30857611483706443, 2.0, 0.841826376614917, 1.0239452943826552, 0.3486728662430087, 0.12887205452715073, 0.03911135869467761, -0.4364661856638531, 0.5167222407518913, 0.11802096090100339, -0.32888809663285806, -0.17733304907508446, -0.5058662309659385, 0.20935076509132225, -0.14414678903970587, -0.3402239031328945, 0.007731728803364178, -0.12845657929705984, -0.1389352327641745, -0.048704240384588815, -0.5080323595389278, 0.2991064615386793, 0.5260156853935057, 0.04834665279315676, -0.4430466986915737, 0.17689722201078897, 0.16214452417235048, 0.2728395733675024, 0.25805989835030196, 0.3316164959041112, 0.11791585835627721, -0.1315265715810571, -0.42871290293785, 0.4525575004927977, -0.26285576055315046, -0.6222350684032074, 0.1676654531856626, -0.01022806539565708, 0.035563470024957355, -0.4730955908999473, -0.4906652770909643, 0.36545344577586275, -0.33501891529267486, -0.18232812718624705, 0.20426343317570345, -0.07659809273635314, -0.04296460775654647]",430,48,6.0
