batch_id,image_id,defect_present,defect_type,severity,inspection_result
BATCH-20260301-0001,IMG-00001,False,none,0,PASS
BATCH-20260301-0002,IMG-00002,True,hot_tear,2,PASS
BATCH-20260301-0003,IMG-00003,False,none,0,PASS
BATCH-20260301-0004,IMG-00004,False,none,0,PASS
BATCH-20260301-0005,IMG-00005,False,none,0,PASS
BATCH-20260301-0006,IMG-00006,False,none,0,PASS
BATCH-20260301-0007,IMG-00007,False,none,0,PASS
BATCH-20260301-0008,IMG-00008,False,none,0,PASS
BATCH-20260301-0009,IMG-00009,True,shrinkage,2,PASS
BATCH-20260301-0010,IMG-00010,False,none,0,PASS
BATCH-20260301-0011,IMG-00011,True,shrinkage,5,REWORK
BATCH-20260301-0012,IMG-00012,False,none,0,PASS
BATCH-20260301-0013,IMG-00013,False,none,0,PASS
BATCH-20260301-0014,IMG-00014,False,none,0,PASS
BATCH-20260301-0015,IMG-00015,False,none,0,PASS
BATCH-20260301-0016,IMG-00016,False,none,0,PASS
BATCH-20260301-0017,IMG-00017,False,none,0,PASS
BATCH-20260301-0018,IMG-00018,False,none,0,PASS
BATCH-20260301-0019,IMG-00019,False,none,0,PASS
BATCH-20260301-0020,IMG-00020,False,none,0,PASS
BATCH-20260301-0021,IMG-00021,False,none,0,PASS
BATCH-20260301-0022,IMG-00022,False,none,0,PASS
BATCH-20260301-0023,IMG-00023,False,none,0,PASS
BATCH-20260301-0024,IMG-00024,False,none,0,PASS
BATCH-20260301-0025,IMG-00025,False,none,0,PASS
BATCH-20260301-0026,IMG-00026,False,none,0,PASS
BATCH-20260301-0027,IMG-00027,True,cold_shut,5,REWORK
BATCH-20260301-0028,IMG-00028,False,none,0,PASS
BATCH-20260301-0029,IMG-00029,False,none,0,PASS
BATCH-20260301-0030,IMG-00030,True,hot_tear,5,REWORK
BATCH-20260301-0031,IMG-00031,False,none,0,PASS
BATCH-20260301-0032,IMG-00032,False,none,0,PASS
BATCH-20260301-0033,IMG-00033,False,none,0,PASS
BATCH-20260301-0034,IMG-00034,True,shrinkage,3,FAIL
BATCH-20260301-0035,IMG-00035,False,none,0,PASS
BATCH-20260301-0036,IMG-00036,False,none,0,PASS
BATCH-20260301-0037,IMG-00037,False,none,0,PASS
BATCH-20260301-0038,IMG-00038,False,none,0,PASS
BATCH-20260301-0039,IMG-00039,False,none,0,PASS
BATCH-20260301-0040,IMG-00040,False,none,0,PASS
BATCH-20260301-0041,IMG-00041,False,none,0,PASS
BATCH-20260301-0042,IMG-00042,False,none,0,PASS
BATCH-20260301-0043,IMG-00043,False,none,0,PASS
BATCH-20260301-0044,IMG-00044,False,none,0,PASS
BATCH-20260301-0045,IMG-00045,False,none,0,PASS
BATCH-20260301-0046,IMG-00046,True,shrinkage,5,REWORK
BATCH-20260301-0047,IMG-00047,False,none,0,PASS
BATCH-20260301-0048,IMG-00048,False,none,0,PASS
BATCH-20260301-0049,IMG-00049,False,none,0,PASS
BATCH-20260301-0050,IMG-00050,False,none,0,PASS
BATCH-20260301-0051,IMG-00051,False,none,0,PASS
BATCH-20260301-0052,IMG-00052,False,none,0,PASS
BATCH-20260301-0053,IMG-00053,False,none,0,PASS
BATCH-20260301-0054,IMG-00054,False,none,0,PASS
BATCH-20260301-0055,IMG-00055,False,none,0,PASS
BATCH-20260301-0056,IMG-00056,False,none,0,PASS
BATCH-20260301-0057,IMG-00057,True,hot_tear,4,REWORK
BATCH-20260301-0058,IMG-00058,False,none,0,PASS
BATCH-20260301-0059,IMG-00059,False,none,0,PASS
BATCH-20260301-0060,IMG-00060,False,none,0,PASS
BATCH-20260301-0061,IMG-00061,False,none,0,PASS
BATCH-20260301-0062,IMG-00062,False,none,0,PASS
BATCH-20260301-0063,IMG-00063,False,none,0,PASS
BATCH-20260301-0064,IMG-00064,False,none,0,PASS
BATCH-20260301-0065,IMG-00065,False,none,0,PASS
BATCH-20260301-0066,IMG-00066,False,none,0,PASS
BATCH-20260301-0067,IMG-00067,False,none,0,PASS
BATCH-20260301-0068,IMG-00068,False,none,0,PASS
BATCH-20260301-0069,IMG-00069,False,none,0,PASS
BATCH-20260301-0070,IMG-00070,False,none,0,PASS
BATCH-20260301-0071,IMG-00071,False,none,0,PASS
BATCH-20260301-0072,IMG-00072,False,none,0,PASS
BATCH-20260301-0073,IMG-00073,False,none,0,PASS
BATCH-20260301-0074,IMG-00074,False,none,0,PASS
BATCH-20260301-0075,IMG-00075,False,none,0,PASS
BATCH-20260301-0076,IMG-00076,False,none,0,PASS
BATCH-20260301-0077,IMG-00077,False,none,0,PASS
BATCH-20260301-0078,IMG-00078,True,gas_porosity,2,PASS
BATCH-20260301-0079,IMG-00079,False,none,0,PASS
BATCH-20260301-0080,IMG-00080,False,none,0,PASS
BATCH-20260301-0081,IMG-00081,False,none,0,PASS
BATCH-20260301-0082,IMG-00082,True,cold_shut,5,REWORK
BATCH-20260301-0083,IMG-00083,False,none,0,PASS
BATCH-20260301-0084,IMG-00084,False,none,0,PASS
BATCH-20260301-0085,IMG-00085,False,none,0,PASS
BATCH-20260301-0086,IMG-00086,False,none,0,PASS
BATCH-20260301-0087,IMG-00087,True,gas_porosity,5,REWORK
BATCH-20260301-0088,IMG-00088,False,none,0,PASS
BATCH-20260301-0089,IMG-00089,False,none,0,PASS
BATCH-20260301-0090,IMG-00090,False,none,0,PASS
BATCH-20260301-0091,IMG-00091,False,none,0,PASS
BATCH-20260301-0092,IMG-00092,False,none,0,PASS
BATCH-20260301-0093,IMG-00093,True,hot_tear,5,REWORK
BATCH-20260301-0094,IMG-00094,False,none,0,PASS
BATCH-20260301-0095,IMG-00095,False,none,0,PASS
BATCH-20260301-0096,IMG-00096,False,none,0,PASS
BATCH-20260301-0097,IMG-00097,False,none,0,PASS
BATCH-20260301-0098,IMG-00098,False,none,0,PASS
BATCH-20260301-0099,IMG-00099,False,none,0,PASS
BATCH-20260301-0100,IMG-00100,False,none,0,PASS
BATCH-20260301-0101,IMG-00101,False,none,0,PASS
BATCH-20260301-0102,IMG-00102,False,none,0,PASS
BATCH-20260301-0103,IMG-00103,False,none,0,PASS
BATCH-20260301-0104,IMG-00104,False,none,0,PASS
BATCH-20260301-0105,IMG-00105,False,none,0,PASS
BATCH-20260301-0106,IMG-00106,False,none,0,PASS
BATCH-20260301-0107,IMG-00107,False,none,0,PASS
BATCH-20260301-0108,IMG-00108,False,none,0,PASS
BATCH-20260301-0109,IMG-00109,False,none,0,PASS
BATCH-20260301-0110,IMG-00110,False,none,0,PASS
BATCH-20260301-0111,IMG-00111,False,none,0,PASS
BATCH-20260301-0112,IMG-00112,False,none,0,PASS
BATCH-20260301-0113,IMG-00113,False,none,0,PASS
BATCH-20260301-0114,IMG-00114,False,none,0,PASS
BATCH-20260301-0115,IMG-00115,True,cold_shut,1,PASS
BATCH-20260301-0116,IMG-00116,False,none,0,PASS
BATCH-20260301-0117,IMG-00117,False,none,0,PASS
BATCH-20260301-0118,IMG-00118,False,none,0,PASS
BATCH-20260301-0119,IMG-00119,False,none,0,PASS
BATCH-20260301-0120,IMG-00120,False,none,0,PASS
BATCH-20260301-0121,IMG-00121,False,none,0,PASS
BATCH-20260301-0122,IMG-00122,False,none,0,PASS
BATCH-20260301-0123,IMG-00123,False,none,0,PASS
BATCH-20260301-0124,IMG-00124,False,none,0,PASS
BATCH-20260301-0125,IMG-00125,False,none,0,PASS
BATCH-20260301-0126,IMG-00126,False,none,0,PASS
BATCH-20260301-0127,IMG-00127,False,none,0,PASS
BATCH-20260301-0128,IMG-00128,False,none,0,PASS
BATCH-20260301-0129,IMG-00129,False,none,0,PASS
BATCH-20260301-0130,IMG-00130,False,none,0,PASS
BATCH-20260301-0131,IMG-00131,False,none,0,PASS
BATCH-20260302-0132,IMG-00132,False,none,0,PASS
BATCH-20260302-0133,IMG-00133,False,none,0,PASS
BATCH-20260302-0134,IMG-00134,False,none,0,PASS
BATCH-20260302-0135,IMG-00135,True,gas_porosity,5,REWORK
BATCH-20260302-0136,IMG-00136,False,none,0,PASS
BATCH-20260302-0137,IMG-00137,False,none,0,PASS
BATCH-20260302-0138,IMG-00138,True,gas_porosity,2,PASS
BATCH-20260302-0139,IMG-00139,True,gas_porosity,3,FAIL
BATCH-20260302-0140,IMG-00140,True,shrinkage,3,FAIL
BATCH-20260302-0141,IMG-00141,False,none,0,PASS
BATCH-20260302-0142,IMG-00142,False,none,0,PASS
BATCH-20260302-0143,IMG-00143,False,none,0,PASS
BATCH-20260302-0144,IMG-00144,False,none,0,PASS
BATCH-20260302-0145,IMG-00145,False,none,0,PASS
BATCH-20260302-0146,IMG-00146,False,none,0,PASS
BATCH-20260302-0147,IMG-00147,False,none,0,PASS
BATCH-20260302-0148,IMG-00148,False,none,0,PASS
BATCH-20260302-0149,IMG-00149,False,none,0,PASS
BATCH-20260302-0150,IMG-00150,False,none,0,PASS
BATCH-20260302-0151,IMG-00151,False,none,0,PASS
BATCH-20260302-0152,IMG-00152,False,none,0,PASS
BATCH-20260302-0153,IMG-00153,False,none,0,PASS
BATCH-20260302-0154,IMG-00154,False,none,0,PASS
BATCH-20260302-0155,IMG-00155,False,none,0,PASS
BATCH-20260302-0156,IMG-00156,False,none,0,PASS
BATCH-20260302-0157,IMG-00157,False,none,0,PASS
BATCH-20260302-0158,IMG-00158,False,none,0,PASS
BATCH-20260302-0159,IMG-00159,False,none,0,PASS
BATCH-20260302-0160,IMG-00160,False,none,0,PASS
BATCH-20260302-0161,IMG-00161,False,none,0,PASS
