batch_id,part_name,alloy_grade,mold_id,shift,cycle_number,production_order,furnace_id,molding_machine_id,pouring_station_id,period,target_temperature,target_pour_time,mold_made_at,pour_time,inspection_time,production_date
BATCH-20260301-0001,Brake_Drum_v1,C25,MOLD-0001,A,1792,PO-20260301-0001,FURNACE_3,MOLDING_LINE_2,LADLE_1,normal,1421.7878331662841,2026-03-01 07:52:38,2026-02-28 18:54:38,2026-03-01 07:52:38,2026-03-01 11:52:38,2026-03-01
BATCH-20260301-0002,Steering_Knuckle_v2,A380,MOLD-0002,A,54,PO-20260301-0002,FURNACE_2,MOLDING_LINE_3,LADLE_2,normal,1390.4715228338914,2026-03-01 16:09:15,2026-02-28 18:28:15,2026-03-01 16:09:15,2026-03-01 21:09:15,2026-03-01
BATCH-20260301-0003,Intake_Manifold_v2,A356,MOLD-0003,A,2818,PO-20260301-0003,FURNACE_1,MOLDING_LINE_2,LADLE_1,normal,1367.9489690242315,2026-03-01 12:53:46,2026-02-28 18:48:46,2026-03-01 12:53:46,2026-03-01 16:53:46,2026-03-01
BATCH-20260301-0004,Brake_Drum_v1,A380,MOLD-0004,A,5772,PO-20260301-0004,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1378.8676072628382,2026-03-02 05:26:51,2026-03-01 15:58:51,2026-03-02 05:26:51,2026-03-02 15:26:51,2026-03-01
BATCH-20260301-0005,Exhaust_Manifold_v1,FG260,MOLD-0005,B,2911,PO-20260301-0005,FURNACE_2,MOLDING_LINE_2,LADLE_2,normal,1391.3857868009259,2026-03-01 09:38:56,2026-03-01 03:31:56,2026-03-01 09:38:56,2026-03-01 12:38:56,2026-03-01
BATCH-20260301-0006,Intake_Manifold_v1,C25,MOLD-0006,C,7581,PO-20260301-0006,FURNACE_1,MOLDING_LINE_1,LADLE_2,normal,1442.7673265054589,2026-03-01 15:24:40,2026-03-01 01:37:40,2026-03-01 15:24:40,2026-03-02 03:24:40,2026-03-01
BATCH-20260301-0007,Cylinder_Block_v2,A356,MOLD-0007,B,4647,PO-20260301-0007,FURNACE_2,MOLDING_LINE_1,LADLE_1,normal,1395.6568062092772,2026-03-02 02:53:40,2026-03-01 15:16:40,2026-03-02 02:53:40,2026-03-02 07:53:40,2026-03-01
BATCH-20260301-0008,Suspension_Arm_v1,FG300,MOLD-0008,B,3510,PO-20260301-0008,FURNACE_1,MOLDING_LINE_1,LADLE_2,normal,1432.290966815658,2026-03-01 18:47:25,2026-03-01 07:27:25,2026-03-01 18:47:25,2026-03-02 06:47:25,2026-03-01
BATCH-20260301-0009,Steering_Knuckle_v1,6061,MOLD-0009,A,6489,PO-20260301-0009,FURNACE_1,MOLDING_LINE_1,LADLE_1,normal,1381.3723020851544,2026-03-02 04:12:44,2026-03-01 11:14:44,2026-03-02 04:12:44,2026-03-02 08:12:44,2026-03-01
BATCH-20260301-0010,Turbo_Housing_v2,6061,MOLD-0010,C,939,PO-20260301-0010,FURNACE_2,MOLDING_LINE_3,LADLE_1,normal,1384.014170512826,2026-03-01 22:41:13,2026-02-28 22:22:13,2026-03-01 22:41:13,2026-03-02 06:41:13,2026-03-01
BATCH-20260301-0011,Engine_Bracket_v2,FG300,MOLD-0011,B,6242,PO-20260301-0011,FURNACE_1,MOLDING_LINE_3,LADLE_2,normal,1448.032166920908,2026-03-02 02:17:01,2026-03-01 13:33:01,2026-03-02 02:17:01,2026-03-02 08:17:01,2026-03-01
BATCH-20260301-0012,Steering_Knuckle_v1,C45,MOLD-0012,A,6379,PO-20260301-0012,FURNACE_1,MOLDING_LINE_2,LADLE_1,normal,1452.3627418071776,2026-03-01 14:20:16,2026-02-28 16:30:16,2026-03-01 14:20:16,2026-03-01 20:20:16,2026-03-01
BATCH-20260301-0013,Brake_Drum_v1,A356,MOLD-0013,B,7758,PO-20260301-0013,FURNACE_1,MOLDING_LINE_1,LADLE_1,normal,1393.9004799602021,2026-03-02 02:50:34,2026-03-01 21:18:34,2026-03-02 02:50:34,2026-03-02 04:50:34,2026-03-01
BATCH-20260301-0014,Steering_Knuckle_v2,FG300,MOLD-0014,A,7147,PO-20260301-0014,FURNACE_3,MOLDING_LINE_2,LADLE_1,normal,1398.5539640258041,2026-03-01 09:30:02,2026-03-01 02:52:02,2026-03-01 09:30:02,2026-03-01 23:30:02,2026-03-01
BATCH-20260301-0015,Intake_Manifold_v2,ADI_2,MOLD-0015,B,4240,PO-20260301-0015,FURNACE_3,MOLDING_LINE_3,LADLE_2,normal,1446.2860050348702,2026-03-02 05:44:07,2026-03-01 11:05:07,2026-03-02 05:44:07,2026-03-02 19:44:07,2026-03-01
BATCH-20260301-0016,Wheel_Hub_v1,FG250,MOLD-0016,C,5799,PO-20260301-0016,FURNACE_3,MOLDING_LINE_1,LADLE_1,normal,1380.5033587289565,2026-03-01 23:24:17,2026-03-01 15:26:17,2026-03-01 23:24:17,2026-03-02 02:24:17,2026-03-01
BATCH-20260301-0017,Wheel_Hub_v1,FG260,MOLD-0017,C,1084,PO-20260301-0017,FURNACE_1,MOLDING_LINE_2,LADLE_2,normal,1394.9965765159307,2026-03-02 05:36:39,2026-03-01 23:58:39,2026-03-02 05:36:39,2026-03-02 07:36:39,2026-03-01
BATCH-20260301-0018,Suspension_Arm_v2,A380,MOLD-0018,A,3368,PO-20260301-0018,FURNACE_1,MOLDING_LINE_1,LADLE_2,normal,1367.7148783294776,2026-03-02 03:48:27,2026-03-01 04:47:27,2026-03-02 03:48:27,2026-03-02 17:48:27,2026-03-01
BATCH-20260301-0019,Wheel_Hub_v1,FG260,MOLD-0019,A,1504,PO-20260301-0019,FURNACE_1,MOLDING_LINE_1,LADLE_2,normal,1389.8127607966342,2026-03-01 23:37:13,2026-03-01 18:00:13,2026-03-01 23:37:13,2026-03-02 07:37:13,2026-03-01
BATCH-20260301-0020,Steering_Knuckle_v2,FG260,MOLD-0020,A,7589,PO-20260301-0020,FURNACE_3,MOLDING_LINE_3,LADLE_1,normal,1447.8297380099325,2026-03-01 16:47:29,2026-02-28 22:08:29,2026-03-01 16:47:29,2026-03-02 01:47:29,2026-03-01
BATCH-20260301-0021,Intake_Manifold_v2,A380,MOLD-0021,A,2173,PO-20260301-0021,FURNACE_1,MOLDING_LINE_2,LADLE_1,normal,1399.2654421889863,2026-03-01 16:08:22,2026-03-01 05:36:22,2026-03-01 16:08:22,2026-03-02 01:08:22,2026-03-01
BATCH-20260301-0022,Steering_Knuckle_v2,6061,MOLD-0022,A,4745,PO-20260301-0022,FURNACE_1,MOLDING_LINE_2,LADLE_1,normal,1398.435468248458,2026-03-02 00:32:58,2026-03-01 09:33:58,2026-03-02 00:32:58,2026-03-02 13:32:58,2026-03-01
BATCH-20260301-0023,Turbo_Housing_v1,6061,MOLD-0023,C,657,PO-20260301-0023,FURNACE_3,MOLDING_LINE_1,LADLE_1,normal,1398.0389451637225,2026-03-02 02:21:26,2026-03-01 20:44:26,2026-03-02 02:21:26,2026-03-02 04:21:26,2026-03-01
BATCH-20260301-0024,Exhaust_Manifold_v1,A380,MOLD-0024,A,3435,PO-20260301-0024,FURNACE_3,MOLDING_LINE_1,LADLE_1,normal,1380.9690755166052,2026-03-01 14:41:56,2026-03-01 06:45:56,2026-03-01 14:41:56,2026-03-02 05:41:56,2026-03-01
BATCH-20260301-0025,Intake_Manifold_v2,A356,MOLD-0025,A,2458,PO-20260301-0025,FURNACE_2,MOLDING_LINE_2,LADLE_1,normal,1383.5845111479985,2026-03-02 04:25:03,2026-03-01 05:15:03,2026-03-02 04:25:03,2026-03-02 10:25:03,2026-03-01
BATCH-20260301-0026,Turbo_Housing_v2,C45,MOLD-0026,A,1086,PO-20260301-0026,FURNACE_1,MOLDING_LINE_3,LADLE_1,normal,1450.3530816429259,2026-03-01 23:09:49,2026-03-01 08:38:49,2026-03-01 23:09:49,2026-03-02 08:09:49,2026-03-01
BATCH-20260301-0027,Intake_Manifold_v1,6061,MOLD-0027,C,4544,PO-20260301-0027,FURNACE_3,MOLDING_LINE_2,LADLE_1,normal,1383.393160185629,2026-03-01 19:59:25,2026-03-01 12:42:25,2026-03-01 19:59:25,2026-03-02 01:59:25,2026-03-01
BATCH-20260301-0028,Brake_Drum_v1,C25,MOLD-0028,A,1668,PO-20260301-0028,FURNACE_2,MOLDING_LINE_2,LADLE_1,normal,1463.0567312283279,2026-03-01 17:57:00,2026-03-01 09:54:00,2026-03-01 17:57:00,2026-03-01 20:57:00,2026-03-01
BATCH-20260301-0029,Cylinder_Block_v2,FG260,MOLD-0029,C,6318,PO-20260301-0029,FURNACE_2,MOLDING_LINE_2,LADLE_1,normal,1380.2481982361448,2026-03-01 16:38:40,2026-02-28 19:36:40,2026-03-01 16:38:40,2026-03-02 07:38:40,2026-03-01
BATCH-20260301-0030,Suspension_Arm_v1,C25,MOLD-0030,C,7742,PO-20260301-0030,FURNACE_2,MOLDING_LINE_3,LADLE_1,normal,1426.71243283536,2026-03-01 11:35:46,2026-02-28 10:45:46,2026-03-01 11:35:46,2026-03-02 00:35:46,2026-03-01
BATCH-20260301-0031,Steering_Knuckle_v2,FG300,MOLD-0031,B,7644,PO-20260301-0031,FURNACE_1,MOLDING_LINE_1,LADLE_2,normal,1405.525606072908,2026-03-01 12:42:36,2026-02-28 14:25:36,2026-03-01 12:42:36,2026-03-01 23:42:36,2026-03-01
BATCH-20260301-0032,Brake_Drum_v1,A356,MOLD-0032,C,1940,PO-20260301-0032,FURNACE_2,MOLDING_LINE_3,LADLE_1,normal,1396.2881911284778,2026-03-01 09:24:09,2026-02-28 16:27:09,2026-03-01 09:24:09,2026-03-01 14:24:09,2026-03-01
BATCH-20260301-0033,Wheel_Hub_v1,A380,MOLD-0033,C,5745,PO-20260301-0033,FURNACE_3,MOLDING_LINE_1,LADLE_2,normal,1357.9598921490365,2026-03-01 12:27:59,2026-03-01 02:54:59,2026-03-01 12:27:59,2026-03-01 16:27:59,2026-03-01
BATCH-20260301-0034,Intake_Manifold_v2,6061,MOLD-0034,B,1583,PO-20260301-0034,FURNACE_2,MOLDING_LINE_1,LADLE_1,normal,1351.1832217350725,2026-03-01 11:26:08,2026-02-28 17:56:08,2026-03-01 11:26:08,2026-03-01 16:26:08,2026-03-01
BATCH-20260301-0035,Transmission_Housing_v1,A356,MOLD-0035,C,945,PO-20260301-0035,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1396.9618570162359,2026-03-01 21:08:27,2026-03-01 06:30:27,2026-03-01 21:08:27,2026-03-02 11:08:27,2026-03-01
BATCH-20260301-0036,Turbo_Housing_v2,A380,MOLD-0036,B,4190,PO-20260301-0036,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1380.3104426653072,2026-03-01 16:04:37,2026-03-01 06:30:37,2026-03-01 16:04:37,2026-03-01 19:04:37,2026-03-01
BATCH-20260301-0037,Engine_Bracket_v2,FG250,MOLD-0037,C,574,PO-20260301-0037,FURNACE_3,MOLDING_LINE_3,LADLE_1,normal,1405.4955030246886,2026-03-01 11:14:37,2026-02-28 18:12:37,2026-03-01 11:14:37,2026-03-01 13:14:37,2026-03-01
BATCH-20260301-0038,Brake_Drum_v1,ADI_2,MOLD-0038,C,5712,PO-20260301-0038,FURNACE_2,MOLDING_LINE_3,LADLE_2,normal,1439.570974291444,2026-03-01 19:55:19,2026-02-28 19:01:19,2026-03-01 19:55:19,2026-03-02 10:55:19,2026-03-01
BATCH-20260301-0039,Engine_Bracket_v1,FG300,MOLD-0039,C,4,PO-20260301-0039,FURNACE_3,MOLDING_LINE_2,LADLE_2,normal,1418.3556049194988,2026-03-01 17:39:52,2026-02-28 19:45:52,2026-03-01 17:39:52,2026-03-02 01:39:52,2026-03-01
